      i          j        RA          k  l     Dec        m n         mag        
      270        2714      1.0797e+02   0. 0. 	-4.9243e-01 0. 0.      4.1500e+00
      271        2736      1.0719e+02   0. 0. 	-7.0501e+01 0. 0.      3.7800e+00
      272        2740      1.0814e+02   0. 0. 	-4.6761e+01 0. 0.      4.4900e+00
      273        2749      1.0870e+02   0. 0. 	-2.6772e+01 0. 0.      3.8500e+00
      274        2763      1.0952e+02   0. 0. 	 1.6541e+01 0. 0.      3.5800e+00
      275        2773      1.0929e+02   0. 0. 	-3.7097e+01 0. 0.      2.7000e+00
      276        2777      1.1003e+02   0. 0. 	 2.1983e+01 0. 0.      3.5300e+00
      277        2782      1.0968e+02   0. 0. 	-2.4954e+01 0. 0.      4.4000e+00
      278        2803      1.0921e+02   0. 0. 	-6.7957e+01 0. 0.      3.9800e+00
      279        2821      1.1143e+02   0. 0. 	 2.7799e+01 0. 0.      3.7900e+00
      280        2827      1.1102e+02   0. 0. 	-2.9303e+01 0. 0.      2.4500e+00
      281        2845      1.1179e+02   0. 0. 	 8.2898e+00 0. 0.      2.9000e+00
      282        2852      1.1228e+02   0. 0. 	 3.1782e+01 0. 0.      4.1800e+00
      283        2854      1.1204e+02   0. 0. 	 8.9255e+00 0. 0.      4.3200e+00
      284        2878      1.1231e+02   0. 0. 	-4.3304e+01 0. 0.      3.2500e+00
      285        2890      1.1365e+02   0. 0. 	 3.1890e+01 0. 0.      1.5800e+00
      286        2891      1.1365e+02   0. 0. 	 3.1890e+01 0. 0.      1.5900e+00
      287        2905      1.1398e+02   0. 0. 	 2.6897e+01 0. 0.      4.0600e+00
      288        2906      1.1351e+02   0. 0. 	-2.2296e+01 0. 0.      4.4500e+00
      289        2943      1.1484e+02   0. 0. 	 5.2391e+00 0. 0.      3.8000e-01
      290        2970      1.1531e+02   0. 0. 	-9.5506e+00 0. 0.      3.9300e+00
      291        2973      1.1583e+02   0. 0. 	 2.8887e+01 0. 0.      4.2800e+00
      292        2985      1.1611e+02   0. 0. 	 2.4399e+01 0. 0.      3.5700e+00
      293        2990      1.1634e+02   0. 0. 	 2.8027e+01 0. 0.      1.1400e+00
      294        2996      1.1595e+02   0. 0. 	-2.8955e+01 0. 0.      3.9600e+00
      295        3017      1.1631e+02   0. 0. 	-3.7969e+01 0. 0.      3.6100e+00
      296        3024      1.1545e+02   0. 0. 	-7.2606e+01 0. 0.      3.9500e+00
      297        3045      1.1732e+02   0. 0. 	-2.4859e+01 0. 0.      3.3400e+00
      298        3055      1.1731e+02   0. 0. 	-4.6373e+01 0. 0.      4.1100e+00
      299        3080      1.1805e+02   0. 0. 	-4.0576e+01 0. 0.      3.7300e+00
      300        3084      1.1816e+02   0. 0. 	-3.8863e+01 0. 0.      4.4900e+00
      301        3090      1.1833e+02   0. 0. 	-4.8103e+01 0. 0.      4.2400e+00
      302        3102      1.1922e+02   0. 0. 	-2.2880e+01 0. 0.      4.2000e+00
      303        3117      1.1920e+02   0. 0. 	-5.2982e+01 0. 0.      3.4700e+00
      304        3129      1.1956e+02   0. 0. 	-4.9245e+01 0. 0.      4.4100e+00
      305        3145      1.2057e+02   0. 0. 	 2.3332e+00 0. 0.      4.3900e+00
      306        3165      1.2090e+02   0. 0. 	-4.0004e+01 0. 0.      2.2500e+00
      307        3185      1.2189e+02   0. 0. 	-2.4305e+01 0. 0.      2.8100e+00
      308        3188      1.2215e+02   0. 0. 	-2.9834e+00 0. 0.      4.3400e+00
      309        3192      1.2226e+02   0. 0. 	-1.9245e+01 0. 0.      4.4000e+00
      310        3206      1.2237e+02   0. 0. 	-4.7346e+01 0. 0.      4.2700e+00
      311        3207      1.2238e+02   0. 0. 	-4.7336e+01 0. 0.      1.7800e+00
      312        3223      1.2198e+02   0. 0. 	-6.8618e+01 0. 0.      4.3500e+00
      313        3225      1.2284e+02   0. 0. 	-3.9619e+01 0. 0.      4.4500e+00
      314        3243      1.2351e+02   0. 0. 	-4.0347e+01 0. 0.      4.4400e+00
      315        3249      1.2413e+02   0. 0. 	 9.1863e+00 0. 0.      3.5200e+00
      316        3270      1.2464e+02   0. 0. 	-3.6661e+01 0. 0.      4.4500e+00
      317        3275      1.2571e+02   0. 0. 	 4.3189e+01 0. 0.      4.2500e+00
